change_id,system,change_type,change_size,requester_team,requested_window,rollback_plan_exists,rollback_plan_tested,similar_past_changes_count,similar_past_changes_failure_rate,system_incidents_last_90_days,schedule_conflict,description,outcome,true_risk_probability,risk_level
CHG-3000,Payments-Service,Infrastructure-Change,Small,Security,Business-Hours-Weekday,Yes,No,51,0.16,1,No,Infrastructure-Change on Payments-Service (small change) requested by Security during business hours weekday.,Success,0.193,Medium
CHG-3001,Inventory-API,Deployment,Medium,SRE,Business-Hours-Weekday,Yes,No,3,0.092,0,No,Deployment on Inventory-API (medium change) requested by SRE during business hours weekday.,Success,0.126,Low
CHG-3002,Search-Service,Infrastructure-Change,Medium,Security,Weekend,Yes,Yes,58,0.33,1,No,Infrastructure-Change on Search-Service (medium change) requested by Security during weekend.,Success,0.059,Low
CHG-3003,Notification-Service,Infrastructure-Change,Medium,SRE,Off-Hours-Weekday,Yes,Yes,23,0.203,2,No,Infrastructure-Change on Notification-Service (medium change) requested by SRE during off hours weekday.,Success,0.149,Low
CHG-3004,Inventory-API,Infrastructure-Change,Medium,SRE,Business-Hours-Weekday,Yes,Yes,33,0.243,0,No,Infrastructure-Change on Inventory-API (medium change) requested by SRE during business hours weekday.,Success,0.087,Low
CHG-3005,Notification-Service,Config-Update,Small,SRE,Business-Hours-Weekday,Yes,No,17,0.19,0,Yes,Config-Update on Notification-Service (small change) requested by SRE during business hours weekday.,Success,0.133,Low
CHG-3006,Search-Service,Config-Update,Medium,SRE,Business-Hours-Weekday,Yes,Yes,9,0.181,0,No,Config-Update on Search-Service (medium change) requested by SRE during business hours weekday.,Success,0.068,Low
CHG-3007,Inventory-API,Deployment,Large,Platform,Business-Hours-Weekday,Yes,Yes,46,0.054,0,No,Deployment on Inventory-API (large change) requested by Platform during business hours weekday.,Success,0.051,Low
CHG-3008,Payments-Service,Infrastructure-Change,Medium,Data-Engineering,Business-Hours-Weekday,Yes,No,25,0.06,0,Yes,Infrastructure-Change on Payments-Service (medium change) requested by Data-Engineering during business hours weekday.,Failed,0.401,High
CHG-3009,Billing-DB,Database-Schema-Change,Medium,Security,Business-Hours-Weekday,Yes,No,20,0.051,2,No,Database-Schema-Change on Billing-DB (medium change) requested by Security during business hours weekday.,Failed,0.396,Medium
CHG-3010,Notification-Service,Patch,Small,Security,Peak-Hours,Yes,Yes,49,0.031,1,No,Patch on Notification-Service (small change) requested by Security during peak hours.,Success,0.039,Low
CHG-3011,Auth-Service,Security-Patch,Small,Platform,Business-Hours-Weekday,Yes,No,49,0.188,0,Yes,Security-Patch on Auth-Service (small change) requested by Platform during business hours weekday.,Success,0.14,Low
CHG-3012,Auth-Service,Database-Schema-Change,Medium,SRE,Peak-Hours,Yes,Yes,53,0.127,1,No,Database-Schema-Change on Auth-Service (medium change) requested by SRE during peak hours.,Success,0.166,Medium
CHG-3013,Payments-Service,Infrastructure-Change,Small,Backend,Business-Hours-Weekday,No,,10,0.263,1,Yes,Infrastructure-Change on Payments-Service (small change) requested by Backend during business hours weekday.,Failed,0.756,High
CHG-3014,Reporting-DB,Config-Update,Medium,SRE,Business-Hours-Weekday,Yes,No,41,0.244,2,No,Config-Update on Reporting-DB (medium change) requested by SRE during business hours weekday.,Success,0.213,Medium
CHG-3015,Website-Frontend,Deployment,Large,Security,Business-Hours-Weekday,Yes,Yes,1,0.083,2,No,Deployment on Website-Frontend (large change) requested by Security during business hours weekday.,Failed,0.278,Medium
CHG-3016,Billing-DB,Infrastructure-Change,Small,Security,Business-Hours-Weekday,No,,31,0.473,2,Yes,Infrastructure-Change on Billing-DB (small change) requested by Security during business hours weekday.,Success,0.781,High
CHG-3017,Reporting-DB,Config-Update,Medium,Security,Business-Hours-Weekday,Yes,Yes,8,0.252,0,Yes,Config-Update on Reporting-DB (medium change) requested by Security during business hours weekday.,Success,0.185,Medium
CHG-3018,Notification-Service,Config-Update,Medium,Data-Engineering,Weekend,Yes,Yes,40,0.135,0,Yes,Config-Update on Notification-Service (medium change) requested by Data-Engineering during weekend.,Success,0.067,Low
CHG-3019,Billing-DB,Config-Update,Small,SRE,Off-Hours-Weekday,No,,31,0.281,4,No,Config-Update on Billing-DB (small change) requested by SRE during off hours weekday.,Success,0.322,Medium
CHG-3020,Billing-DB,Security-Patch,Large,SRE,Weekend,Yes,Yes,27,0.103,0,No,Security-Patch on Billing-DB (large change) requested by SRE during weekend.,Success,0.038,Low
CHG-3021,Auth-Service,Infrastructure-Change,Small,Backend,Peak-Hours,Yes,Yes,56,0.172,1,No,Infrastructure-Change on Auth-Service (small change) requested by Backend during peak hours.,Success,0.183,Medium
CHG-3022,Website-Frontend,Infrastructure-Change,Large,SRE,Business-Hours-Weekday,Yes,No,7,0.228,3,No,Infrastructure-Change on Website-Frontend (large change) requested by SRE during business hours weekday.,Caused-Incident,0.7,High
CHG-3023,Website-Frontend,Security-Patch,Small,DevOps,Business-Hours-Weekday,Yes,Yes,33,0.101,1,Yes,Security-Patch on Website-Frontend (small change) requested by DevOps during business hours weekday.,Success,0.255,Medium
CHG-3024,Search-Service,Patch,Medium,Platform,Weekend,No,,40,0.216,0,Yes,Patch on Search-Service (medium change) requested by Platform during weekend.,Success,0.207,Medium
CHG-3025,Search-Service,Patch,Medium,Platform,Peak-Hours,No,,33,0.173,1,No,Patch on Search-Service (medium change) requested by Platform during peak hours.,Failed,0.279,Medium
CHG-3026,Payments-Service,Infrastructure-Change,Small,DevOps,Business-Hours-Weekday,Yes,Yes,27,0.068,0,No,Infrastructure-Change on Payments-Service (small change) requested by DevOps during business hours weekday.,Success,0.061,Low
CHG-3027,Notification-Service,Database-Schema-Change,Small,Data-Engineering,Business-Hours-Weekday,Yes,Yes,59,0.206,1,No,Database-Schema-Change on Notification-Service (small change) requested by Data-Engineering during business hours weekday.,Caused-Incident,0.158,Medium
CHG-3028,Auth-Service,Config-Update,Medium,SRE,Off-Hours-Weekday,No,,48,0.096,2,Yes,Config-Update on Auth-Service (medium change) requested by SRE during off hours weekday.,Success,0.326,Medium
CHG-3029,Payments-Service,Database-Schema-Change,Small,Backend,Off-Hours-Weekday,Yes,No,44,0.315,0,No,Database-Schema-Change on Payments-Service (small change) requested by Backend during off hours weekday.,Success,0.074,Low
CHG-3030,Billing-DB,Config-Update,Small,Security,Weekend,No,,58,0.117,0,No,Config-Update on Billing-DB (small change) requested by Security during weekend.,Success,0.03,Low
CHG-3031,Inventory-API,Database-Schema-Change,Small,Security,Weekend,Yes,Yes,30,0.116,2,No,Database-Schema-Change on Inventory-API (small change) requested by Security during weekend.,Success,0.069,Low
CHG-3032,Website-Frontend,Deployment,Small,Platform,Weekend,Yes,Yes,25,0.197,0,No,Deployment on Website-Frontend (small change) requested by Platform during weekend.,Success,0.033,Low
